 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1        1     29.84200 -4.643706582E+00  8.511137677E-02  6.827818850E+00  4.875728572E-01 -6.760070327E+00 -2.665955745E-04       11
        2        1     29.84200 -4.369602009E+00  7.283712356E-02  3.839165975E+00  2.758731597E-01 -1.154977983E+02 -2.665955745E-04       11
        1        1  13359.13123 -1.741535112E+00  2.047937393E-02  7.919257055E+00  5.603299614E-01 -5.639016125E+00 -2.683620255E-04       11
        2        1  13359.13123  4.008965615E-01 -1.995437161E-02  3.180247619E+00  2.152335485E-01 -1.143493534E+02 -2.957781463E-04       11
        1        1  26629.04120 -1.010815226E+01  7.132700022E-01  3.683728008E+00  4.396094687E-02 -4.512442861E+00 -2.683620255E-04       11
        2        1  26629.04120  2.499803169E+00 -1.976442815E-01 -2.538973423E+00 -4.964610531E-02 -1.131144714E+02 -2.957781463E-04       11
        1        2     29.84200  6.228262407E+00 -8.211149641E-02 -5.319205627E+00 -3.823151986E-01 -4.515934329E+00 -2.683693921E-04       11
        2        2     29.84200 -2.778271157E+00  5.664884067E-02  3.523753000E+00  2.549648335E-01 -1.131151895E+02 -2.957855127E-04       11
        1        2  13359.13123  9.724615532E+00 -1.546064736E-01  5.114409463E+00  3.501021276E-01 -3.394944281E+00 -2.694643422E-04       11
        2        2  13359.13123  1.889974330E-01 -8.778915974E-03  2.110063750E-01 -5.570642035E-05 -1.118428949E+02 -3.245396479E-04       11
        1        2  26629.04120  5.235766670E-01 -4.779228804E-02 -8.301146762E+00 -1.408651302E-01 -2.265088876E+00 -2.694643422E-04       11
        2        2  26629.04120 -8.618566551E+00  6.068806076E-01 -5.132960474E+00 -8.796238489E-02 -1.104877798E+02 -3.245396479E-04       11
        1        3     29.84200 -9.546391090E-01  1.865349527E-02  1.144724837E+01  8.291762728E-01 -2.269024268E+00 -2.694717107E-04       11
        2        3     29.84200  5.234838601E+00 -6.852364880E-02  7.251790676E+00  5.231370817E-01 -1.104912613E+02 -3.245470161E-04       11
        1        3  13359.13123  4.287957596E+00 -8.094526845E-02 -9.781143491E+00 -7.192680597E-01 -1.139459200E+00 -2.698945392E-04       11
        2        3  13359.13123  9.037005544E+00 -1.458949394E-01 -9.524336592E-01 -8.218561192E-02 -1.091086519E+02 -3.528173973E-04       11
        1        3  26629.04120  8.304588815E+00 -6.149258429E-01 -6.574317115E+00 -1.032711133E-01 -1.254782178E-02 -2.698945392E-04       11
        2        3  26629.04120  2.237055026E+00 -1.723853679E-01 -3.063899299E+00 -5.484295348E-02 -1.076370698E+02 -3.528173973E-04       11
        1        4     29.84200 -6.802227220E+00  1.156903999E-01  9.670316740E+00  6.929439236E-01 -1.747082657E-02 -2.699019098E-04       11
        2        4     29.84200 -2.224622941E+00  3.933418734E-02  4.427727339E+00  3.182131949E-01 -1.076379122E+02 -3.528247672E-04       11
        1        4  13359.13123 -3.422741011E+00  4.368901135E-02  5.526257459E+00  3.885899685E-01  1.114596224E+00 -2.696531803E-04       11
        2        4  13359.13123  2.815591126E+00 -5.738344458E-02  3.076225599E+00  2.080243785E-01 -1.061290249E+02 -3.805538246E-04       11
        1        4  26629.04120 -8.287105194E+00  5.802553821E-01  4.047100623E+00  5.135751025E-02  2.246921168E+00 -2.696531803E-04       11
        2        4  26629.04120  5.522200432E+00 -4.146710297E-01 -2.183281184E+00 -4.400052749E-02 -1.045442442E+02 -3.805538246E-04       11
        1        5     29.84200  4.843116879E+00 -5.874757352E-02 -5.723105911E+00 -4.127813254E-01  2.244216460E+00 -2.696605528E-04       11
        2        5     29.84200 -4.858091552E+00  8.681631667E-02  3.036189920E+00  2.196214444E-01 -1.045456791E+02 -3.805611963E-04       11
        1        5  13359.13123  7.851941175E+00 -1.240574745E-01  7.697905616E+00  5.370155522E-01  3.370631076E+00 -2.687360433E-04       11
        2        5  13359.13123 -1.638609342E+00  1.741929990E-02  9.129150893E-01  5.049166078E-02 -1.029198897E+02 -4.076863630E-04       11
