 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=         100 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        1        1     29.84200 -4.005550200E-01  1.619107004E-02  5.012027175E+00  3.613893879E-01 -5.045606626E-04 -2.665955745E-04       11
        2        1     29.84200 -4.005301907E-01  1.619069464E-02  5.012027175E+00  3.613893879E-01 -5.045606661E-04 -2.665955745E-04       11
        1        1  13359.13123  3.540863922E+00 -6.368281766E-02  8.094305883E-01  4.416494535E-02  1.115063249E+00 -2.663452985E-04       11
        2        1  13359.13123  3.540888476E+00 -6.368318655E-02  8.094305937E-01  4.416494574E-02  1.115063234E+00 -2.663452985E-04       11
        1        1  26629.04120 -4.062137247E-01  1.495782677E-02 -3.451778287E+00 -6.218548183E-02  2.227889864E+00 -2.663452985E-04       11
        2        1  26629.04120 -4.061992916E-01  1.495680009E-02 -3.451778283E+00 -6.218548178E-02  2.227889851E+00 -2.663452985E-04       11
        1      101     29.84200 -4.151069314E-01  1.631051867E-02  5.059176607E+00  3.647360776E-01 -4.372791296E+01 -5.812583885E-05       11
        2      101     29.84200 -4.150826467E-01  1.631014873E-02  5.059176883E+00  3.647360974E-01 -4.372791296E+01 -5.812583858E-05       11
        1      101  13359.13123  3.541398761E+00 -6.364469768E-02  6.510817906E-01  3.275546099E-02 -4.347425861E+01 -7.084054904E-05       11
        2      101  13359.13123  3.541423262E+00 -6.364506792E-02  6.510818513E-01  3.275546554E-02 -4.347425864E+01 -7.084054878E-05       11
        1      101  26629.04120 -4.177511835E-01  1.583663401E-02 -3.481582466E+00 -6.257916127E-02 -4.316949547E+01 -7.084054904E-05       11
        2      101  26629.04120 -4.177332367E-01  1.583535335E-02 -3.481582202E+00 -6.257915720E-02 -4.316949550E+01 -7.084054878E-05       11
        1      201     29.84200 -4.053599674E-01  1.601210691E-02  5.140516026E+00  3.705340807E-01 -2.003552956E+01  2.407334898E-04       11
        2      201     29.84200 -4.053362718E-01  1.601174495E-02  5.140516756E+00  3.705341333E-01 -2.003552948E+01  2.407334901E-04       11
        1      201  13359.13123  3.564100831E+00 -6.389746069E-02  3.945992259E-01  1.427633774E-02 -2.104341899E+01  2.345545102E-04       11
        2      201  13359.13123  3.564124682E+00 -6.389782113E-02  3.945988843E-01  1.427631340E-02 -2.104341893E+01  2.345545105E-04       11
        1      201  26629.04120 -4.358416283E-01  1.723376585E-02 -3.536227964E+00 -6.331797342E-02 -2.200065777E+01  2.345545102E-04       11
        2      201  26629.04120 -4.358232510E-01  1.723245414E-02 -3.536227659E+00 -6.331796844E-02 -2.200065771E+01  2.345545105E-04       11
        1      301     29.84200 -4.043629110E-01  1.602874942E-02  5.129746295E+00  3.697815754E-01  3.465040212E+01  1.696964581E-04       11
        2      301     29.84200 -4.043391021E-01  1.602838593E-02  5.129746953E+00  3.697816230E-01  3.465040221E+01  1.696964578E-04       11
        1      301  13359.13123  3.563457085E+00 -6.389871673E-02  4.357490347E-01  1.723747920E-02  3.392388499E+01  1.797425086E-04       11
        2      301  13359.13123  3.563481077E+00 -6.389907926E-02  4.357483809E-01  1.723743222E-02  3.392388507E+01  1.797425084E-04       11
        1      301  26629.04120 -4.377875483E-01  1.736101675E-02 -3.532245778E+00 -6.327217965E-02  3.319312578E+01  1.797425086E-04       11
        2      301  26629.04120 -4.377692854E-01  1.735971331E-02 -3.532245772E+00 -6.327217911E-02  3.319312585E+01  1.797425084E-04       11
        1      401     29.84200 -4.349089695E-01  1.665811517E-02  5.047713161E+00  3.639471523E-01  3.594577900E+01 -1.605857193E-04       11
        2      401     29.84200 -4.348853087E-01  1.665775155E-02  5.047713348E+00  3.639471659E-01  3.594577897E+01 -1.605857198E-04       11
        1      401  13359.13123  3.515124125E+00 -6.326080129E-02  7.014565987E-01  3.638041239E-02  3.660533848E+01 -1.498717376E-04       11
        2      401  13359.13123  3.515148671E+00 -6.326117560E-02  7.014561588E-01  3.638038063E-02  3.660533844E+01 -1.498717381E-04       11
        1      401  26629.04120 -4.398351142E-01  1.739781440E-02 -3.479208228E+00 -6.256073037E-02  3.723673931E+01 -1.498717376E-04       11
        2      401  26629.04120 -4.398127641E-01  1.739621496E-02 -3.479208427E+00 -6.256073315E-02  3.723673927E+01 -1.498717381E-04       11
        1      501     29.84200 -4.628215704E-01  1.713031801E-02  5.023139095E+00  3.621900289E-01 -1.814432920E+01 -2.428415813E-04       11
        2      501     29.84200 -4.627991155E-01  1.712996960E-02  5.023139093E+00  3.621900288E-01 -1.814432928E+01 -2.428415814E-04       11
        1      501  13359.13123  3.479367483E+00 -6.274784548E-02  7.783936426E-01  4.192693753E-02 -1.712283731E+01 -2.480127520E-04       11
        2      501  13359.13123  3.479391571E+00 -6.274821632E-02  7.783935580E-01  4.192693139E-02 -1.712283742E+01 -2.480127522E-04       11
        1      501  26629.04120 -4.530152272E-01  1.830413124E-02 -3.460837036E+00 -6.230835728E-02 -1.608578705E+01 -2.480127520E-04       11
        2      501  26629.04120 -4.529887550E-01  1.830223294E-02 -3.460837107E+00 -6.230835832E-02 -1.608578715E+01 -2.480127522E-04       11
        1      601     29.84200 -4.670723436E-01  1.705569606E-02  5.093423373E+00  3.671868900E-01 -4.415028513E+01  5.104354016E-05       11
        2      601     29.84200 -4.670514070E-01  1.705536831E-02  5.093423670E+00  3.671869112E-01 -4.415028516E+01  5.104354068E-05       11
        1      601  13359.13123  3.493814513E+00 -6.288837709E-02  5.444509017E-01  2.507001932E-02 -4.435474114E+01  3.811519173E-05       11
        2      601  13359.13123  3.493836952E+00 -6.288872460E-02  5.444508833E-01  2.507001815E-02 -4.435474119E+01  3.811519224E-05       11
        1      601  26629.04120 -4.738422868E-01  1.988503581E-02 -3.507984964E+00 -6.293906239E-02 -4.450025628E+01  3.811519173E-05       11
        2      601  26629.04120 -4.738142482E-01  1.988302352E-02 -3.507984746E+00 -6.293905899E-02 -4.450025634E+01  3.811519224E-05       11
        1      701     29.84200 -4.539033458E-01  1.674508325E-02  5.153876431E+00  3.715000562E-01 -2.086505079E+00  2.682272253E-04       11
        2      701     29.84200 -4.538826664E-01  1.674475911E-02  5.153877137E+00  3.715001071E-01 -2.086505010E+00  2.682272257E-04       11
        1      701  13359.13123  3.515327570E+00 -6.314273972E-02  3.506367517E-01  1.110515091E-02 -3.215283212E+00  2.673501499E-04       11
        2      701  13359.13123  3.515349300E+00 -6.314307622E-02  3.506363621E-01  1.110512309E-02 -3.215283161E+00  2.673501503E-04       11
        1      701  26629.04120 -4.872117279E-01  2.092167353E-02 -3.552660770E+00 -6.355029950E-02 -4.308024853E+00  2.673501499E-04       11
        2      701  26629.04120 -4.871842132E-01  2.091969911E-02 -3.552660520E+00 -6.355029535E-02 -4.308024807E+00  2.673501503E-04       11
        1      801     29.84200 -4.640976074E-01  1.699580895E-02  5.108105482E+00  3.682526298E-01  4.325802925E+01  7.231190034E-05       11
        2      801     29.84200 -4.640770926E-01  1.699548702E-02  5.108106065E+00  3.682526720E-01  4.325802936E+01  7.231190007E-05       11
        1      801  13359.13123  3.498288434E+00 -6.293301523E-02  4.990983833E-01  2.179655708E-02  4.293779294E+01  8.488080354E-05       11
        2      801  13359.13123  3.498310482E+00 -6.293335729E-02  4.990977064E-01  2.179650839E-02  4.293779304E+01  8.488080330E-05       11
        1      801  26629.04120 -4.885037600E-01  2.095995200E-02 -3.526347716E+00 -6.320332653E-02  4.259902242E+01  8.488080354E-05       11
        2      801  26629.04120 -4.884753191E-01  2.095791042E-02 -3.526347786E+00 -6.320332715E-02  4.259902251E+01  8.488080330E-05       11
        1      901     29.84200 -4.955509636E-01  1.763487370E-02  5.032069230E+00  3.628422361E-01  2.201342144E+01 -2.328865042E-04       11
        2      901     29.84200 -4.955323567E-01  1.763457840E-02  5.032069381E+00  3.628422472E-01  2.201342143E+01 -2.328865048E-04       11
        1      901  13359.13123  3.444574011E+00 -6.219850656E-02  7.477180504E-01  3.971114389E-02  2.298074989E+01 -2.261363092E-04       11
        2      901  13359.13123  3.444595335E+00 -6.219884093E-02  7.477175512E-01  3.971110781E-02  2.298074987E+01 -2.261363098E-04       11
        1      901  26629.04120 -5.046129958E-01  2.201767134E-02 -3.475034121E+00 -6.251237122E-02  2.392737960E+01 -2.261363092E-04       11
        2      901  26629.04120 -5.045811897E-01  2.201538503E-02 -3.475034396E+00 -6.251237515E-02  2.392737958E+01 -2.261363098E-04       11
        1     1001     29.84200 -5.129558970E-01  1.788647617E-02  5.041590305E+00  3.635109133E-01 -3.317085764E+01 -1.775563644E-04       11
        2     1001     29.84200 -5.129398060E-01  1.788621669E-02  5.041590302E+00  3.635109132E-01 -3.317085774E+01 -1.775563644E-04       11
        1     1001  13359.13123  3.429046432E+00 -6.194903120E-02  7.140957655E-01  3.729048109E-02 -3.241885834E+01 -1.871728408E-04       11
        2     1001  13359.13123  3.429065573E+00 -6.194933494E-02  7.140956050E-01  3.729046946E-02 -3.241885846E+01 -1.871728408E-04       11
        1     1001  26629.04120 -5.263269015E-01  2.358604682E-02 -3.478767546E+00 -6.255486103E-02 -3.163327492E+01 -1.871728408E-04       11
        2     1001  26629.04120 -5.262933805E-01  2.358363489E-02 -3.478767677E+00 -6.255486296E-02 -3.163327504E+01 -1.871728408E-04       11
        1     1101     29.84200 -5.061169671E-01  1.762709006E-02  5.122198512E+00  3.692463764E-01 -3.711805710E+01  1.521121952E-04       11
        2     1101     29.84200 -5.061024682E-01  1.762685315E-02  5.122198792E+00  3.692463965E-01 -3.711805713E+01  1.521121958E-04       11
